system:index,aspect,latitude,longitude,.geo
2_0,1,67.60709869664038,-51.20158233693326,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0,1,78.79956096689614,-69.81098063558755,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0,4,79.51038345056354,-61.5263261705961,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0,1,59.848151576875125,-44.058391430167845,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_0,2,78.8597402992098,-68.54291794271508,"{""type"":""MultiPoint"",""coordinates"":[]}"
33_0,4,72.00029927549353,-55.563245065915574,"{""type"":""MultiPoint"",""coordinates"":[]}"
36_0,3,60.63878109834196,-43.32283252055712,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_0,1,76.41000538923207,-62.32975626476388,"{""type"":""MultiPoint"",""coordinates"":[]}"
42_0,3,63.528988170862256,-50.08704100641757,"{""type"":""MultiPoint"",""coordinates"":[]}"
43_0,4,61.85837492741926,-49.44054544983211,"{""type"":""MultiPoint"",""coordinates"":[]}"
50_0,4,80.38796999268553,-60.363943379486095,"{""type"":""MultiPoint"",""coordinates"":[]}"
53_0,4,68.3111513405981,-49.37467034079807,"{""type"":""MultiPoint"",""coordinates"":[]}"
60_0,3,65.56998972538668,-51.5918077362185,"{""type"":""MultiPoint"",""coordinates"":[]}"
63_0,2,71.91876060223865,-51.464528846450015,"{""type"":""MultiPoint"",""coordinates"":[]}"
74_0,2,73.23640465047069,-54.82137882093435,"{""type"":""MultiPoint"",""coordinates"":[]}"
78_0,1,60.015767967400045,-44.73951154374365,"{""type"":""MultiPoint"",""coordinates"":[]}"
80_0,4,60.87856608298428,-44.51091241157717,"{""type"":""MultiPoint"",""coordinates"":[]}"
88_0,2,65.23034460190685,-50.60574217266904,"{""type"":""MultiPoint"",""coordinates"":[]}"
92_0,4,71.92481407112061,-51.99287670420522,"{""type"":""MultiPoint"",""coordinates"":[]}"
94_0,4,61.92397248315438,-48.380998003128965,"{""type"":""MultiPoint"",""coordinates"":[]}"
97_0,1,61.78602108739512,-47.69378747536234,"{""type"":""MultiPoint"",""coordinates"":[]}"
100_0,1,69.6824862742389,-53.402704792185034,"{""type"":""MultiPoint"",""coordinates"":[]}"
102_0,4,66.29423590214913,-53.26951846896766,"{""type"":""MultiPoint"",""coordinates"":[]}"
112_0,1,72.25983906961403,-53.66901005998658,"{""type"":""MultiPoint"",""coordinates"":[]}"
140_0,4,60.81121572863311,-44.23529730677444,"{""type"":""MultiPoint"",""coordinates"":[]}"
142_0,3,63.40319717164283,-50.152321000628106,"{""type"":""MultiPoint"",""coordinates"":[]}"
146_0,2,73.64653707335061,-53.517260810840966,"{""type"":""MultiPoint"",""coordinates"":[]}"
150_0,3,76.7806539828125,-67.16169971606661,"{""type"":""MultiPoint"",""coordinates"":[]}"
156_0,1,72.45813806895815,-52.306520611325205,"{""type"":""MultiPoint"",""coordinates"":[]}"
164_0,4,67.7960443163363,-50.33334608959121,"{""type"":""MultiPoint"",""coordinates"":[]}"
168_0,4,60.51172018376907,-44.02921605539661,"{""type"":""MultiPoint"",""coordinates"":[]}"
187_0,2,66.89640595398342,-49.97473193098225,"{""type"":""MultiPoint"",""coordinates"":[]}"
188_0,1,73.08614052856043,-55.520653468432904,"{""type"":""MultiPoint"",""coordinates"":[]}"
190_0,3,63.451419747763545,-50.13451613064026,"{""type"":""MultiPoint"",""coordinates"":[]}"
197_0,2,68.27155490595507,-51.721222672277094,"{""type"":""MultiPoint"",""coordinates"":[]}"
203_0,1,65.67857311219011,-51.84668882623755,"{""type"":""MultiPoint"",""coordinates"":[]}"
208_0,2,79.50245838860876,-64.21676981117349,"{""type"":""MultiPoint"",""coordinates"":[]}"
211_0,4,76.52253261003037,-65.93147849794885,"{""type"":""MultiPoint"",""coordinates"":[]}"
215_0,2,66.47401562863465,-51.29561770354232,"{""type"":""MultiPoint"",""coordinates"":[]}"
219_0,1,60.17755329723556,-43.51652447978241,"{""type"":""MultiPoint"",""coordinates"":[]}"
230_0,3,75.80173971510554,-58.88430378521024,"{""type"":""MultiPoint"",""coordinates"":[]}"
237_0,3,64.61350527754331,-49.70727521031234,"{""type"":""MultiPoint"",""coordinates"":[]}"
240_0,4,70.98239664828236,-50.618704923022676,"{""type"":""MultiPoint"",""coordinates"":[]}"
241_0,4,75.70724482343942,-57.81356889130144,"{""type"":""MultiPoint"",""coordinates"":[]}"
246_0,3,80.12700023800271,-62.877219913179665,"{""type"":""MultiPoint"",""coordinates"":[]}"
254_0,2,61.51512480422901,-46.283138090687636,"{""type"":""MultiPoint"",""coordinates"":[]}"
257_0,1,80.36193840579256,-61.69976867568762,"{""type"":""MultiPoint"",""coordinates"":[]}"
261_0,4,66.04264852037083,-53.197210702472944,"{""type"":""MultiPoint"",""coordinates"":[]}"
263_0,4,75.50189974430357,-57.55282152187799,"{""type"":""MultiPoint"",""coordinates"":[]}"
272_0,1,76.84141085412095,-68.70523820873017,"{""type"":""MultiPoint"",""coordinates"":[]}"
284_0,1,69.80590446557625,-52.88440383286917,"{""type"":""MultiPoint"",""coordinates"":[]}"
285_0,4,70.6647943677293,-51.09115150669484,"{""type"":""MultiPoint"",""coordinates"":[]}"
297_0,4,73.24951377934933,-54.479335396205414,"{""type"":""MultiPoint"",""coordinates"":[]}"
303_0,1,79.1917752938942,-64.92265608461959,"{""type"":""MultiPoint"",""coordinates"":[]}"
315_0,1,64.71669315636376,-49.09515314125396,"{""type"":""MultiPoint"",""coordinates"":[]}"
326_0,4,62.44144649882191,-48.02446904478141,"{""type"":""MultiPoint"",""coordinates"":[]}"
327_0,1,67.78253771277443,-49.362268219716825,"{""type"":""MultiPoint"",""coordinates"":[]}"
337_0,4,78.56527519374711,-67.68760761285616,"{""type"":""MultiPoint"",""coordinates"":[]}"
348_0,4,79.05954305983228,-63.93493654826202,"{""type"":""MultiPoint"",""coordinates"":[]}"
350_0,2,60.70254713828431,-43.55593385643725,"{""type"":""MultiPoint"",""coordinates"":[]}"
351_0,1,81.14437961013785,-63.419868010080016,"{""type"":""MultiPoint"",""coordinates"":[]}"
352_0,1,78.71026918926161,-67.80488293670403,"{""type"":""MultiPoint"",""coordinates"":[]}"
356_0,2,80.74905250674716,-58.832827353897734,"{""type"":""MultiPoint"",""coordinates"":[]}"
370_0,1,66.28459237666729,-49.30861984759933,"{""type"":""MultiPoint"",""coordinates"":[]}"
391_0,4,66.58199534730939,-51.895340281760205,"{""type"":""MultiPoint"",""coordinates"":[]}"
400_0,2,80.77600209304296,-62.58444223987323,"{""type"":""MultiPoint"",""coordinates"":[]}"
403_0,2,62.40669654471417,-48.778038341058405,"{""type"":""MultiPoint"",""coordinates"":[]}"
419_0,3,72.41665787659589,-54.431402720271095,"{""type"":""MultiPoint"",""coordinates"":[]}"
421_0,2,69.12133474532507,-50.24797931852833,"{""type"":""MultiPoint"",""coordinates"":[]}"
431_0,4,80.28102206577735,-67.0464125581505,"{""type"":""MultiPoint"",""coordinates"":[]}"
433_0,3,66.9402784282991,-50.14810826387799,"{""type"":""MultiPoint"",""coordinates"":[]}"
440_0,3,69.68955015277795,-53.11916526224636,"{""type"":""MultiPoint"",""coordinates"":[]}"
445_0,1,64.17239827697104,-49.943477194058765,"{""type"":""MultiPoint"",""coordinates"":[]}"
447_0,1,72.97366718053418,-54.38473860483873,"{""type"":""MultiPoint"",""coordinates"":[]}"
449_0,1,76.88814233639293,-66.05769899932774,"{""type"":""MultiPoint"",""coordinates"":[]}"
473_0,1,76.22817779848015,-65.41063272076092,"{""type"":""MultiPoint"",""coordinates"":[]}"
477_0,3,72.44254171194522,-54.16691734755734,"{""type"":""MultiPoint"",""coordinates"":[]}"
488_0,4,65.95380292894566,-53.21842231428125,"{""type"":""MultiPoint"",""coordinates"":[]}"
494_0,2,77.35004706161988,-65.81683551346815,"{""type"":""MultiPoint"",""coordinates"":[]}"
499_0,2,61.08314091276232,-47.36737233213184,"{""type"":""MultiPoint"",""coordinates"":[]}"
501_0,3,77.87048761374773,-68.58882518591649,"{""type"":""MultiPoint"",""coordinates"":[]}"
503_0,2,71.15306187050231,-53.49678781863812,"{""type"":""MultiPoint"",""coordinates"":[]}"
506_0,4,62.00799190265117,-48.24305174719272,"{""type"":""MultiPoint"",""coordinates"":[]}"
508_0,3,71.75601583005405,-51.94418540436436,"{""type"":""MultiPoint"",""coordinates"":[]}"
524_0,4,61.39764132463095,-45.472968933729526,"{""type"":""MultiPoint"",""coordinates"":[]}"
534_0,2,80.97300408215611,-63.105793886270376,"{""type"":""MultiPoint"",""coordinates"":[]}"
535_0,2,79.12909232143787,-65.84733387382846,"{""type"":""MultiPoint"",""coordinates"":[]}"
544_0,1,65.7781963709693,-50.395133622512155,"{""type"":""MultiPoint"",""coordinates"":[]}"
547_0,2,61.22212401298731,-46.88197827837601,"{""type"":""MultiPoint"",""coordinates"":[]}"
574_0,1,70.08623470663228,-51.06889483573101,"{""type"":""MultiPoint"",""coordinates"":[]}"
587_0,2,69.5652365775191,-50.57064305543104,"{""type"":""MultiPoint"",""coordinates"":[]}"
600_0,3,75.30627953465756,-57.97583023519113,"{""type"":""MultiPoint"",""coordinates"":[]}"
610_0,2,61.65811602481081,-47.12082555161697,"{""type"":""MultiPoint"",""coordinates"":[]}"
622_0,2,66.29816039691062,-50.03103796561511,"{""type"":""MultiPoint"",""coordinates"":[]}"
624_0,4,76.84866418058486,-66.23993016007147,"{""type"":""MultiPoint"",""coordinates"":[]}"
