system:index,distance_to_sea,.geo
2,3222.9713701144337,"{""type"":""Point"",""coordinates"":[-51.200138913257575,67.60668684430209]}"
14,3152.67113723724,"{""type"":""Point"",""coordinates"":[-69.81243943257215,78.79959280637743]}"
18,65815.63408018264,"{""type"":""Point"",""coordinates"":[-61.5282568525098,79.51041594793521]}"
19,2339.5247235374013,"{""type"":""Point"",""coordinates"":[-44.05725380262703,59.84732107723688]}"
27,9292.025333739508,"{""type"":""Point"",""coordinates"":[-68.54153218731395,78.85901317892788]}"
33,948.8498618719694,"{""type"":""Point"",""coordinates"":[-55.56075687857316,71.99981201889356]}"
36,1182.4543517839154,"{""type"":""Point"",""coordinates"":[-43.322483463071286,60.63899019916091]}"
37,13976.31091804545,"{""type"":""Point"",""coordinates"":[-62.328415486494485,76.40921153089867]}"
42,17202.87550677533,"{""type"":""Point"",""coordinates"":[-50.086809251170806,63.52861650044648]}"
43,87.16239158487613,"{""type"":""Point"",""coordinates"":[-49.44223850007454,61.85792600684212]}"
50,63648.01844344168,"{""type"":""Point"",""coordinates"":[-60.36910698849783,80.38786112648238]}"
51,5480.79443263883,"{""type"":""Point"",""coordinates"":[-44.467496567423765,60.39586073304615]}"
53,56298.66839534833,"{""type"":""Point"",""coordinates"":[-49.37519957650087,68.31112219110491]}"
60,3827.1672739183464,"{""type"":""Point"",""coordinates"":[-51.590349290764095,65.57090802211063]}"
63,21201.342486155307,"{""type"":""Point"",""coordinates"":[-51.46379393223314,71.91846713827618]}"
74,9340.392442626597,"{""type"":""Point"",""coordinates"":[-54.8192020562288,73.23647649567795]}"
78,1775.9841903171896,"{""type"":""Point"",""coordinates"":[-44.74101394956896,60.016079865639874]}"
80,19801.468799440183,"{""type"":""Point"",""coordinates"":[-44.511934763386,60.87885947628847]}"
88,1108.9846509522476,"{""type"":""Point"",""coordinates"":[-50.60635093605121,65.22946270316174]}"
92,21796.14342761302,"{""type"":""Point"",""coordinates"":[-51.99464882051993,71.924500291125]}"
94,21720.890444663713,"{""type"":""Point"",""coordinates"":[-48.3793615901525,61.92480373639898]}"
97,40937.46545967897,"{""type"":""Point"",""coordinates"":[-47.69272218809274,61.786399061765096]}"
100,10467.87410885519,"{""type"":""Point"",""coordinates"":[-53.4025069837141,69.68208697640546]}"
102,1787.4078266120232,"{""type"":""Point"",""coordinates"":[-53.26872702616111,66.29404316997334]}"
112,3087.3791701560117,"{""type"":""Point"",""coordinates"":[-53.66950246333097,72.26035597113638]}"
140,22112.580757789896,"{""type"":""Point"",""coordinates"":[-44.23679909885661,60.811448464237614]}"
142,2896.828479059278,"{""type"":""Point"",""coordinates"":[-50.15328526227893,63.40373090791039]}"
146,57178.1636957883,"{""type"":""Point"",""coordinates"":[-53.51922598151207,73.64598278884694]}"
150,22138.83984208433,"{""type"":""Point"",""coordinates"":[-67.16133818789952,76.78065952474091]}"
156,42786.35790786832,"{""type"":""Point"",""coordinates"":[-52.3091352029535,72.45822614784379]}"
164,2136.679317100668,"{""type"":""Point"",""coordinates"":[-50.33119890845147,67.7960654973017]}"
168,3439.4687918809955,"{""type"":""Point"",""coordinates"":[-44.030224539893574,60.5115664696995]}"
187,17594.800295795583,"{""type"":""Point"",""coordinates"":[-49.97249069669393,66.89634625458255]}"
188,1807.326840692646,"{""type"":""Point"",""coordinates"":[-55.51848417209489,73.08652340638484]}"
190,8175.608124374598,"{""type"":""Point"",""coordinates"":[-50.1357157019492,63.45056161243619]}"
197,1189.0556286187436,"{""type"":""Point"",""coordinates"":[-51.72047211872525,68.27193694939932]}"
203,1299.3682465357567,"{""type"":""Point"",""coordinates"":[-51.84846374997389,65.67931410250218]}"
208,11974.781556304619,"{""type"":""Point"",""coordinates"":[-64.21623233474368,79.50301919401284]}"
211,27160.23919521416,"{""type"":""Point"",""coordinates"":[-65.93440543166955,76.5219502467923]}"
215,26858.00647809066,"{""type"":""Point"",""coordinates"":[-51.29659375782847,66.47319784797816]}"
219,6009.948877479258,"{""type"":""Point"",""coordinates"":[-43.516079033490286,60.17792218780188]}"
230,5164.053510351468,"{""type"":""Point"",""coordinates"":[-58.8828477600385,75.8012230153481]}"
237,17240.73385680448,"{""type"":""Point"",""coordinates"":[-49.70931507586609,64.6140087320722]}"
240,11453.274883304895,"{""type"":""Point"",""coordinates"":[-50.617619715178186,70.98274807829226]}"
241,13853.094270866137,"{""type"":""Point"",""coordinates"":[-57.80968368961456,75.70659588286853]}"
246,18705.442416382957,"{""type"":""Point"",""coordinates"":[-62.875130559982885,80.12731143751934]}"
254,30678.33968871837,"{""type"":""Point"",""coordinates"":[-46.28442710843697,61.514544702853485]}"
257,47143.00861582973,"{""type"":""Point"",""coordinates"":[-61.69995698346245,80.36206964108716]}"
261,6457.2880550179325,"{""type"":""Point"",""coordinates"":[-53.198716136669,66.04289891404929]}"
263,16071.219226598121,"{""type"":""Point"",""coordinates"":[-57.55357223850202,75.501863823144]}"
272,18914.80690297225,"{""type"":""Point"",""coordinates"":[-68.70436881358685,76.84116067351637]}"
284,14490.947862429935,"{""type"":""Point"",""coordinates"":[-52.884665925697,69.80636668938622]}"
285,90.46369023745852,"{""type"":""Point"",""coordinates"":[-51.09338039253839,70.66383253607235]}"
297,20187.473229492123,"{""type"":""Point"",""coordinates"":[-54.48100535749491,73.24869380464024]}"
303,17332.837351258142,"{""type"":""Point"",""coordinates"":[-64.92549899887511,79.19235439217933]}"
315,44092.21600944743,"{""type"":""Point"",""coordinates"":[-49.09594060056467,64.71594995039274]}"
326,57931.148470442306,"{""type"":""Point"",""coordinates"":[-48.022901667178076,62.44087019300654]}"
327,38484.69192855649,"{""type"":""Point"",""coordinates"":[-49.360386463989514,67.78315230389668]}"
337,41377.795286465924,"{""type"":""Point"",""coordinates"":[-67.69147390437257,78.56519587985129]}"
348,42715.994694468114,"{""type"":""Point"",""coordinates"":[-63.9363084964556,79.06009943502555]}"
350,7381.627602856545,"{""type"":""Point"",""coordinates"":[-43.555707405968356,60.70330961067138]}"
351,4737.3329850908185,"{""type"":""Point"",""coordinates"":[-63.42396927324325,81.14492975277827]}"
352,28988.054435225375,"{""type"":""Point"",""coordinates"":[-67.80571450628275,78.7106095342584]}"
356,59171.74093616491,"{""type"":""Point"",""coordinates"":[-58.83354569796355,80.74933364818276]}"
370,76472.03689174438,"{""type"":""Point"",""coordinates"":[-49.30739262057298,66.28517066423213]}"
391,3107.4043402549714,"{""type"":""Point"",""coordinates"":[-51.896040095714426,66.58260332688425]}"
400,8645.330342350973,"{""type"":""Point"",""coordinates"":[-62.580766118882224,80.77591265199912]}"
403,26205.326655050736,"{""type"":""Point"",""coordinates"":[-48.77656776499544,62.40690707826214]}"
419,6294.183917725528,"{""type"":""Point"",""coordinates"":[-54.42927210173494,72.41715798557927]}"
421,1566.534940494569,"{""type"":""Point"",""coordinates"":[-50.24802241480941,69.12218028153607]}"
431,7010.477652695127,"{""type"":""Point"",""coordinates"":[-67.04353189719747,80.28162013466236]}"
433,14076.023424247538,"{""type"":""Point"",""coordinates"":[-50.15003656586937,66.93967796113026]}"
440,14774.923196751257,"{""type"":""Point"",""coordinates"":[-53.12050843706437,69.68980590267739]}"
445,8256.208438871892,"{""type"":""Point"",""coordinates"":[-49.94228509571485,64.172433128795]}"
447,11625.961222348324,"{""type"":""Point"",""coordinates"":[-54.38470162986852,72.97376769695097]}"
449,26013.374754184573,"{""type"":""Point"",""coordinates"":[-66.05676796490805,76.8872940444134]}"
473,2823.044887670093,"{""type"":""Point"",""coordinates"":[-65.41263336273515,76.2287487713675]}"
477,5544.797564101877,"{""type"":""Point"",""coordinates"":[-54.16651820022312,72.44333972432815]}"
488,1117.5440656763233,"{""type"":""Point"",""coordinates"":[-53.21897033058612,65.95367306789882]}"
494,10373.483045587689,"{""type"":""Point"",""coordinates"":[-65.81693669579967,77.35060580096956]}"
499,11332.571238701412,"{""type"":""Point"",""coordinates"":[-47.36736482365027,61.08333203719128]}"
501,22364.41169609773,"{""type"":""Point"",""coordinates"":[-68.59353469506367,77.87094565515585]}"
503,1697.7990488730698,"{""type"":""Point"",""coordinates"":[-53.495948527496545,71.1529455324828]}"
506,29371.93654661967,"{""type"":""Point"",""coordinates"":[-48.24473115820188,62.00733817391877]}"
508,5371.626190876535,"{""type"":""Point"",""coordinates"":[-51.94361195031646,71.75679258459719]}"
524,15569.20999310119,"{""type"":""Point"",""coordinates"":[-45.47138375836536,61.39751336955061]}"
534,8203.404585968947,"{""type"":""Point"",""coordinates"":[-63.10669664053456,80.97326267246733]}"
535,2625.003787993017,"{""type"":""Point"",""coordinates"":[-65.85010890693454,79.12834373463379]}"
544,9845.494596900362,"{""type"":""Point"",""coordinates"":[-50.39614050209238,65.77738415624489]}"
547,28602.980294456815,"{""type"":""Point"",""coordinates"":[-46.88247433132697,61.22131373274714]}"
574,1537.403515405055,"{""type"":""Point"",""coordinates"":[-51.07074502488001,70.0863867227419]}"
587,4015.505946821954,"{""type"":""Point"",""coordinates"":[-50.57196446479888,69.56531763020816]}"
600,8478.00343390972,"{""type"":""Point"",""coordinates"":[-57.97586601793868,75.30551940794608]}"
610,56927.17812586067,"{""type"":""Point"",""coordinates"":[-47.122103589936785,61.657876139804046]}"
622,61230.87063353541,"{""type"":""Point"",""coordinates"":[-50.03073635881015,66.2975126841176]}"
624,29455.567051519803,"{""type"":""Point"",""coordinates"":[-66.2407658890793,76.84777236591297]}"
630,3529.84945501568,"{""type"":""Point"",""coordinates"":[-51.116846651352205,69.78682221666128]}"
634,7616.60097417701,"{""type"":""Point"",""coordinates"":[-50.69962279132975,63.71626100771832]}"
646,34249.69899802337,"{""type"":""Point"",""coordinates"":[-59.88071239931745,80.91506489564043]}"
649,59846.565158048616,"{""type"":""Point"",""coordinates"":[-53.17457980570963,73.41752477747764]}"
651,1134.7602460449475,"{""type"":""Point"",""coordinates"":[-51.780474642454905,67.95807862796929]}"
658,7338.601196692555,"{""type"":""Point"",""coordinates"":[-61.6443161302896,76.26774143406398]}"
